日,날일,じつ·にち,か·ひ
一,한 일,いち·いつ,ひと·ひとつ
人,사람 인,じん·にん,ひと
年,해 년(연),ねん,とし
大,큰 대,たい·だい,おお·おおいに·おおきい
十,열 십,じっ·じゅう,と·とお
二,두 이,に,ふた·ふたつ
本,근본 본,ほん,もと
中,가운데 중,じゅう·ちゅう,なか
出,날 출,しゅつ·すい,だす·でる
三,석 삼,さん,み·みつ·みっつ
見,볼 견,けん,みえる·みせる·みる
月,달 월,がつ·げつ,つき
生,날 생,しょう·せい,いかす·いきる·いける·うまれる·うむ·なま·はえる·はやす·おう·き
五,다섯 오,ご,いつ·いつつ
上,위 상,じょう·しょう,あがる·あげる·うえ·うわ·かみ·のぼる·のぼす·のぼせる
四,넉 사,し,よ·よつ·よっつ·よん
金,"성 김, 쇠 금",きん·こん,かな·かね
九,아홉 구,きゅう·く,ここの·ここのつ
入,들 입,にゅう,いる·いれる·はいる
学,배울 학,がく,まなぶ
円,"화폐 단위 엔, 둥글 원",えん,まるい
子,아들 자,し·す,こ
八,여덟 팔,はち,や·やつ·やっつ·よう
六,여섯 륙(육),ろく,む·むい·むつ·むっつ
下,아래 하,か·げ,おりる·おろす·くださる·くだす·くだる·さがる·さげる·した·しも·もと
気,기운 기,き·け,
小,작을 소,しょう,お·こ·ちいさい
七,일곱 칠,しち,なな·ななつ·なの
山,메 산,さん,やま
女,계집 녀(여),じょ·にょ·にょう,おんな·め
百,"일백 백, 힘쓸 맥",ひゃく,
先,먼저 선,せん,さき
名,이름 명,みょう·めい,な
川,내 천,せん,かわ
千,일천 천,せん,ち
水,물 수,すい,みず
国,나라 국,こく,くに
長,긴 장,ちょう,ながい
男,사내 남,だん·なん,おとこ
時,때 시,じ,とき
行,"다닐 행, 항렬 항",ぎょう·こう·あん,いく·おこなう·ゆく
分,나눌 분,ぶ·ふん·ぶん,わかつ·わかる·わかれる·わける
後,뒤 후,ご·こう,あと·うしろ·のち·おくれる
前,앞 전,ぜん,まえ
間,사이 간,かん·けん,あいだ·ま
東,동녘 동,とう,ひがし
今,이제 금,こん·きん,いま
高,높을 고,こう,たか·たかい·たかまる·たかめる
校,학교 교,こう,
土,"흙 토, 뿌리 두",と·ど,つち
外,바깥 외,がい·げ,そと·はずす·はずれる·ほか
木,나무 목,ぼく·もく,き·こ
来,올 래,らい,くる·きたす·きたる
車,"수레 차, 수레 거",しゃ,くるま
話,말씀 화,わ,はなし·はなす
北,"북녘 북, 달아날 배",ほく,きた
午,낮 오,ご,
書,글 서,しょ,かく
半,반 반,はん,なかば
白,흰 백,はく·びゃく,しら·しろ·しろい
西,서녘 서,さい·せい,にし
電,번개 전,でん,
天,하늘 천,てん,あま·あめ
語,말씀 어,ご,かたらう·かたる
聞,들을 문,ぶん·もん,きく·きこえる
食,"밥 식, 먹을 식, 먹이 사, 사람 이름 이",しょく·じき,くう·たべる·くらう
何,"어찌 하, 꾸짖을 가",か,なに·なん
南,남녘 남,"なん, な",みなみ
火,불 화,か,ひ·ほ
右,"오른쪽 우, 도울 우",う·ゆう,みぎ
万,일만 만,まん·ばん,
左,왼 좌,さ,ひだり
休,쉴 휴,きゅう,やすまる·やすむ·やすめる
毎,매양 매,まい,
母,어미 모,ぼ,はは
読,"읽을 독, 구두 두",とう·とく·どく,よむ
友,벗 우,ゆう,とも
父,"아비 부, 자 보",ふ,ちち
雨,비 우,う,あま·あめ
室,집 실,しつ,むろ
歩,걸음 보,ほ·ぶ·ふ,あゆむ·あるく
転,구를 전,てん,ころがす·ころがる·ころげる·ころぶ
不,"아닐 부, 아닐 불, 클 비",ふ·ぶ,
風,바람 풍,ふう·ふ,かざ·かぜ
紙,종이 지,し,かみ
研,갈 연,けん,とぐ
黒,검을 흑,こく,くろ·くろい
春,"봄 춘, 움직을 준",しゅん,はる
以,써 이,い,
究,연구할 구,きゅう,きわめる
起,일어날 기,き,おきる·おこす·おこる
