Kanji,Word,Meaning,Meaning_FR,Meaning_KR
一,一つ,"one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. ""just try it"")","un; pour une chose (souvent utilisé dans les listes ci-contreisées); (après un nom) seulement; (avec un verbe sous forme négative) (pas) même; juste (c’est-à-dire ""il suffit de l’essayer"")",하나
一,一月,January,Janvier,1월
一,一般,"general, liberal, universal, ordinary, average","général, libéral, universel, ordinaire, moyen","일반, 자유주의, 보편적, 일반, 평균"
一,一番,"best, first, number one; game, round, bout, fall, event (in a meet)","meilleur, tout d’abord, numéro un; jeu, ronde, combat, automne, événement (dans une rencontre)","최고, 첫째, 번호 하나; 게임, 라운드, 시합, 가을, 이벤트 (만남에서)"
一,一部,"one part, one portion, one section, some; one copy (e.g. of a document)","une partie, une portion, une section, certaines; une copie (p. ex. d’un document)","한 부분, 일부, 사본 1부(예: 문서)"
一,一方,"one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only","l’un (esp. de deux), l’autre, dans un sens, dans l’autre, dans l’autre sens, dans l’autre direction, l’autre,  d’une part, d’autre part; considérant que, bien que, mais en même temps, en attendant, à son tour; (après nom, adjectif-tige ou verbe simple) garde juste, étant enclin à ..., ayant tendance à être ..., ayant tendance à faire ..., ntinuously ..., il suffit de continuer ... ing, seulement","1(esp. 2의 esp.), 다른 쪽, 한 방향, 다른 방향, 한쪽, 상대방; 한편으로는, 다른 한편으로는; 반면, 비록, 하지만 동시에, 한편, 차례로"
一,十一,"11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)","11, onze; Le coucou-faucon de Hodgson (Cuculus fugax)","11, 11; 호지슨의 매 뻐꾸기 (쿠큘러스 푸가크스)"
一,十一月,November,Novembre,11월
一,統一,"unity, consolidation, uniformity, unification, compatible","unité, consolidation, uniformité, unification,","통일, 통합, 균일성, 호환"
一,一時,"one hour, short time, once, a time, temporarily, at one time, twelfth part of a day","une heure, peu de temps, une fois, une fois, temporairement, à la fois, douzième partie d’une jour née","한 시간, 짧은 시간, 한 번, 일시적으로, 한 번에"
人,外国人,foreigner,Étranger,외국인
人,個人,"individual, private person, personal, private","personne individuelle, privée, personnelle, privée",개인
人,三人,three people,trois personnes,3명
人,人間,"human being, man, person; character (of a person)","être humain, homme, personne; caractère (d’une personne)","인간, 사람, 성격"
人,人気,"popular, popular feeling, business conditions","populaire, sentiment populaire, conditions d’affaires",인기
人,人口,population; common talk,population; parler commune,인구
人,日本人,"Japanese person, Japanese people","Personne japonaise, peuple japonais",일본인
人,人々,"each person, people, men, human, everybody","chaque personne, les gens, les hommes, l’homme, tout le monde","각 사람, 사람, 남자, 인간, 모두"
人,二人,"two persons, two people, pair, couple","deux personnes, deux personnes, paire, couple","두 사람, 두 사람, 쌍, 커플"
人,証人,witness,Témoin,증인
年,年,year; age,année; Âge,연도; 연령
年,昨年,last year,l’année dernière,작년
年,前年,"the preceding year, the previous year, last year","l’année précédente, l’an dernier","전년도, 작년"
年,年間,year (period of),année (période de),연도(기간)
年,来年,next year,l’année prochaine,내년
年,今年,this year,cette année,올해는
年,周年,"whole year, anniversary","année entière, anniversaire","일년 내내, 기념일"
年,少年,"boys, juveniles","garçons, juvéniles","소년, 청소년"
年,年金,"annuity, pension","rente, pension","연금, 연금"
年,年生,"pupil in ... year, student in ... year","élève en ... année, étudiant en ... Année",~학년
大,大きな,"big, large, great",grand,큰
大,拡大,"magnification, enlargement, expansion","grossissement, élargissement, expansion","배율, 확대, 확장"
大,最大,"greatest, largest, maximum","plus grand, maximum","최대, 최대, 최대"
大,大いに,"very, much, greatly, a lot of","très, beaucoup, beaucoup de","아주, 많이, 크게, 많은"
大,大会,"convention, tournament, mass meeting, rally","convention, tournoi, réunion de masse, rallye","컨벤션, 토너먼트, 매스 미팅, 랠리"
大,大学,"post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books","établissement d’enseignement postsecondaire, université, collège, etc.; le Grand Apprentissage - l’un des quatre livres","대학, 대학 등을 포함, 고등 교육 기관"
大,大手,"front castle gate; both arms open, outstretched arms; major companies","porte avant du château; les deux bras ouverts, bras tendus; grandes entreprises","정문 성 문; 큰손, 큰 거래처"
大,大蔵省,(former) Ministry of Finance (succeeded by zaimushou in 2000),(ancien) Ministère des Finances (remplacé par zaimushou en 2000),(이전) 재무성 (2000년 자이무쇼우에 의해 계승됨)
大,大統領,"president, chief executive","président, chef de l’exécutif","사장, 최고 경영자"
大,大幅,"full width, large scale, drastic","pleine largeur, grande échelle, drastique","전체 너비, 큰 규모, 과감한"
十,十,"10, ten","10, dix",10
十,十一,"11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)","11, onze; Le coucou-faucon de Hodgson (Cuculus fugax)","11, 호지슨의 매 뻐꾸기 (쿠큘러스 푸가크스)"
十,十一月,November,Novembre,11월
十,十九,"19, nineteen","19, dix-neuf",19
十,十月,October,Octobre,10월
十,十五,"15, fifteen","15, quinze",15
十,十三,"13, thirteen","13, treize",13
十,十二,"12, twelve","12, douze",12
十,十二月,December,Décembre,12월
十,十八,"18, eighteen","18, dix-huit","18, 18"
二,二,two,Deux,2
二,二つ,two,Deux,둘; 두개.
二,十二,"12, twelve","12, douze",12
二,十二月,December,Décembre,12월
二,二月,February,Février,2월
二,二人,"two persons, two people, pair, couple","deux personnes, paire, couple","두 사람, 쌍, 커플"
二,二百,"two hundred, 200","deux cents, 200","이백, 200"
二,二死,"two out (e.g. in baseball), two down (and one to go)","deux (p. ex. dans le baseball), deux vers le bas (et un à faire)",투 아웃 (예 : 야구)
二,二塁,second base,deuxième base,두 번째 베이스
二,二塁打,"two-base hit, double","coup de deux bases, double","2루수 히트, 더블"
本,基本,"foundation, basis, standard","fondation, base, norme","기초, 표준"
本,日本人,"Japanese person, Japanese people","Personne japonaise, peuple japonais",일본인
本,本社,"head office, main office, headquarters; main shrine; this company, this shrine","siège social, bureau principal, siège social; sanctuaire principal; cette soci été, ce sanctuaire","본사, 본사, 본전, 이 회사, 이 신사"
本,本部,headquarters,Siège,본부
本,本の,"mere, only, just","simple, seulement, juste, juste","단순한, 단지"
本,日本語,Japanese (language),Japonais (langue),일본어(언어)
本,本会議,"plenary session, regular session","séance plénière, session ordinaire","본회의, 정기회"
本,本人,the person himself,la personne elle-même,그 사람 자신
本,本当,"truth, reality","vérité, réalité","진실, 현실"
本,本塁打,home run (baseball),home run (baseball),홈런 (야구)
中,中央,"centre, central, center, middle","centre, central, milieu",중앙
中,中国,"China; South-west most region of Honshu, middle of a country, the Hiroshima area","La Chine; Région sud-ouest de Honshu, au milieu d’un pays, la région d’Hiroshima","중국; 혼슈 의 남서부 대부분 지역, 국가의 중간, 히로시마 지역"
中,中心,"center, centre, middle, heart, core, focus, pivot, emphasis, balance","centre, milieu, cœur, noyau, foyer, pivot, accent, équilibre","중앙, 중간, 심장, 코어, 초점, 피벗, 강조, 균형"
中,中でも,"among (other things), inter alia; above all (else)","entre autres choses, entre autres; par-dessus tout (sinon)","(다른 것들) 중, 그 중, 무엇보다도 (다른)"
中,中間,"middle, midway, interim","milieu, à mi-chemin, intérimaire",중간
中,中東,Middle East,Moyen-orient,중동
中,途中,"on the way, en route; in the middle of, midway","sur le chemin, en route; au milieu de, à mi-chemin","가는 길에, 도중; 중간에, 중간"
中,集中,"concentration, convergence, centralization, integration, gathering together","concentration, convergence, centralisation, intégration, rassemblement","집중력, 융합, 중앙 집중화, 통합, 함께 모이는"
中,中学,"middle school, junior high school",collège,중학교
中,中学生,"junior high school student, middle school pupil","étudiant du secondaire, élève du collège",중학생
出,出す,"to take out, to get out; to put out, to reveal, to show; to submit (e.g. thesis), to turn in; to publish, to make public; to send (e.g. letter); to produce (a sound), to start (fire); to serve (food); to begin","à emporter, à sortir; de sortir, de révéler, de montrer; soumettre (p. ex. thèse), pour se rendre; publier, rendre public; à envoyer (p. ex. lettre); produire (un son), pour commencer (feu); servir (nourriture); pour commencer","꺼내, 공개, 제출, 게시, 공개"
出,出身,"person's origin (town, city, country, etc.); institution from which one graduated; director in charge of employee relations","l’origine de la personne (ville, pays, etc.); institution à partir de laquelle on a obtenu son diplôme; directeur en charge des relations avec les employés",출신
出,輸出,export,l’exportation,수출
出,出場,"(stage) appearance, participation, performance","(étape) apparence, participation, performance","(무대) 외관, 참가, 퍼포먼스"
出,進出,"advance, step forward","avance, avancez, avancez","전진, 앞으로 단계"
